85847,نن_RB|د_IN|کرکټ_NN.C.1.M|بورډ_NN.C.1.M|عمومي_JJ|رئیس_NN.C.1.M|میرویس_NN.P|اشرف_NN.P|پخپل_JJ|دفتر_NN.C.1.M|کې_PT|ورسره_RB|ولیدل_VB.D
38456,"د_IN|پولنډ_NN.P|حکومت_NN.C.1.M|وایي_VB.P|،_PU|په_IN|دې_DT|هېواد_NN.C.1.M|کې_PT|نږدې_JJ|۲۵۰_NB|ډوله_NN.C.1.F|زهرجن_JJ|بوټي_NN.C.2|شته_NN.C.1.F|چې_CC|ځینې_JJ|یې_PR.C|کولی_VB.H|شي_VB.H|انسان_NN.C.1.M|ووژني_VB.H"
9537,"په_IN|اعلامیې_NN.C.1.F|کې_PT|د_IN|ښاغلي_JJ|پوتین_NN.P|د_IN|قوله_NN.C.1.M|ویل_VB.INF|شوي_VB.DX|چې_CC|د_IN|مسکو_NN.P|په_IN|ملګري_NN.C.2|هیواد_NN.C.1.M|،_PU|ایران_NN.P|بې بنسټه_JJ|تورونه_NN.C.2|لګول_VB.INF|کیږي_VB.P"
783,اسلام_NN.C.1.M|د_IN|هغه_DT|خوړو_NN.C.2|یادونه_NN.C.2|کړې_VB.DX|چې_CC|هم_RB|مور_NN.C.1.F|او_CC|هم_RB|ماشوم_NN.C.1.M|په_IN|ګټه_NN.C.1.F|تمامېږي_VB.P
29343,خو_CC|ډېری_NN.C.1.M|وخت_NN.C.1.M|د_IN|ورته_PR.P.iii|پېښو_NN.C.2|مسوولیت_NN.C.1.M|د_IN|پاکستاني_JJ|طالبانو_NN.C.2|تحریک_NN.C.1.M|پر_IN|غاړه_NN.C.1.F|اخلي_VB.P
93624,هند_NN.P|چې_CC|په_IN|نړۍ_NN.C.1.F|کې_PT|د_IN|ټولو_RB|خرڅ_NN.C.1.M|شویو_VB.N|واکسینونو_NN.C.2|څه_RB|دپاسه_RB|۶۰_NB|فیصده_NN.C.1.F|تولیدوي_VB.P
21439,چې_CC|د_IN|۶۴_NB|کیلومتره_NN.C.2|دیوال_NN.C.1.M|کولو_VB.G|چارې_NN.C.1.F|د_IN|روان_JJ|کال_NN.C.1.M|تر_IN|پایه_NN.C.1.M|پای_NN.C.1.F|ته_PT|رسیږي_VB.P
45841,د_IN|طالبانو_NN.C.2|له_IN|بیا_RB|واکمنېدو_VB.G|راهیسې_RB|د_IN|افغانستان_NN.P|په_IN|اړه_NN.C.1.F|ښکاره_JJ|سیاسي_JJ|تګلاره_NN.C.1.F|نه_PT|لري_VB.P
60449,دا_DT|چې_CC|پخوانی_JJ|حکومت_NN.C.1.M|يو_DT|نړيوال_JJ|سهامي_JJ|شرکت_NN.C.1.M|و_VB.INF|او_CC|ځينې_JJ|وزيران_NN.C.2|د_IN|نورو_RB|هېوادونو_NN.C.2|استازي_NN.C.2|و_VB.INF|نو_CC|دوی_PR.P.iii|اوس_RB|غواړي_VB.P|چې_CC|هغه_DT|امتياز_NN.C.1.M|له_IN|لاسه_NN.C.1.M|ورنکړي_VB.H
35265,د_IN|امریکامتحدوایالتونو_NN.P|بېړنی_JJ|روغتیایي_JJ|حالت_NN.C.1.M|کړی_VB.DX
